App_ID,게임명,기존_대분류,기존_세부분류,최종_대분류,최종_세부분류,판정근거
1632344522,元梦之星,캐주얼,경쟁/파티,캐주얼,경쟁/파티,소셜 파티/UGC 경쟁 게임
1344733855,光·遇,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
6478924760,动物王者：萌兽派对,캐주얼,경쟁/파티,캐주얼,경쟁/파티,동물 캐릭터 기반 캐주얼 아레나 경쟁
1658934469,太空杀-嘉年华,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
1434798394,奇葩战斗家,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
6466403436,山西扣点点--经典扣点点玩法回归,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
1527353928,扣点点--正宗扣点点玩法来袭,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
1471085940,推理学院-聚会派对，休闲游戏合集！,캐주얼,경쟁/파티,캐주얼,경쟁/파티,보드/추리 기반 멀티 파티 게임
6475333544,暴吵萌厨,캐주얼,경쟁/파티,캐주얼,경쟁/파티,협동 요리 파티 게임
6739037227,爆裂小队,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
954751394,猫和老鼠,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
1636463825,皮卡堂之梦想起源,캐주얼,경쟁/파티,캐주얼,경쟁/파티,소셜 시뮬레이션/파티 커뮤니티 게임
1504236603,荒野乱斗,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
1544884479,蛋仔派对,캐주얼,경쟁/파티,캐주얼,경쟁/파티,오리지널 소셜 파티/UGC 경쟁 게임
6544797261,超自然行动组,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
1409592512,逃跑吧！少年,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
1326730621,香肠派对,캐주얼,경쟁/파티,캐주얼,경쟁/파티,캐주얼 배틀로얄/멀티 경쟁 파티 성격
6740756173,鹅鸭杀,캐주얼,경쟁/파티,캐주얼,경쟁/파티,기존 캐주얼 세부분류 6종 유지/정규화
995122577,地铁跑酷 -海底列车进站中,캐주얼,러닝,캐주얼,러닝,기존 캐주얼 세부분류 6종 유지/정규화
653350791,天天酷跑,캐주얼,러닝,캐주얼,러닝,기존 캐주얼 세부분류 6종 유지/정규화
1020071295,忍者必须死3,캐주얼,러닝,캐주얼,러닝,기존 캐주얼 세부분류 6종 유지/정규화
1047961826,疯狂动物园-跑酷牛仔向前冲,캐주얼,러닝,캐주얼,러닝,기존 캐주얼 세부분류 6종 유지/정규화
1184159988,元气骑士,캐주얼,로그라이크,캐주얼,로그라이크,기존 캐주얼 세부분류 6종 유지/정규화
6532613907,冒险者日记,캐주얼,로그라이크,캐주얼,로그라이크,기존 캐주얼 세부분류 6종 유지/정규화
6740221237,发条总动员,캐주얼,로그라이크,캐주얼,로그라이크,기존 캐주얼 세부분류 6종 유지/정규화
6468896590,小鸡舰队出击,캐주얼,로그라이크,캐주얼,로그라이크,기존 캐주얼 세부분류 6종 유지/정규화
1670099181,弓箭传说,캐주얼,로그라이크,캐주얼,로그라이크,기존 캐주얼 세부분류 6종 유지/정규화
6532613807,弓箭传说2,캐주얼,로그라이크,캐주얼,로그라이크,기존 캐주얼 세부분류 6종 유지/정규화
1628270358,弹壳特攻队,캐주얼,로그라이크,캐주얼,로그라이크,기존 캐주얼 세부분류 6종 유지/정규화
1612246166,霓虹深渊：无限,캐주얼,로그라이크,캐주얼,로그라이크,기존 캐주얼 세부분류 6종 유지/정규화
1501671346,一念逍遥·萌兽服,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6749241301,三国大冒险,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1464502983,不休的乌拉拉,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6744438020,不朽箴言,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6742528029,云海之下,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1070092192,仙境传说RO：天天打波利,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6470340918,冒险大作战,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6446892071,冲啊原始人,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6447610671,凡人传说-官方版,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1638926230,出发吧麦芬,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1481453488,剑与远征 - AFK,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6751926149,口袋斗罗大陆,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1516958246,天境传说-轻松放置福利拉满,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6444930101,天姬变-角色扮演挂机异次元手游,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6450645450,寻道大千-小妖砍树能修仙,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6749888113,山海传说,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6741894816,指尖无双,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1153461915,放置奇兵,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1240648355,暴走英雄坛-自由武侠世界放置江湖,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1507966188,最强蜗牛-休闲放置佳作,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6449214722,次神：光之觉醒-动作冒险休闲闯关游戏,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6472133123,欢乐战三国,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6476490214,洛伊的移动要塞,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
6747741181,烈焰觉醒-2025全新正版完美画质传奇,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1450376096,热血神剑-国风武侠世界 怀旧江湖情缘,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1637377185,超能世界,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1565518179,这就是江湖,캐주얼,방치,캐주얼,방치,기존 캐주얼 세부분류 6종 유지/정규화
1208561922,《喵星大作战》,캐주얼,아케이드,캐주얼,아케이드,기존 캐주얼 세부분류 6종 유지/정규화
1262982086,一起来捉妖,캐주얼,아케이드,캐주얼,아케이드,기존 캐주얼 세부분류 6종 유지/정규화
6747479318,冒险之星,캐주얼,아케이드,캐주얼,아케이드,기존 캐주얼 세부분류 6종 유지/정규화
1638309128,圈了个地 - 院长模拟器,캐주얼,아케이드,캐주얼,아케이드,기존 캐주얼 세부분류 6종 유지/정규화
6471837913,宫爆：老奶奶家族篇,캐주얼,아케이드,캐주얼,아케이드,기존 캐주얼 세부분류 6종 유지/정규화
