战略大品类Tag,战略细分品类Tag,전략대분류_KO,전략세부분류_KO,게임수,Gross_KRW_원_12개월,Gross_KRW_억원_12개월,Gross_USD_12개월,대표게임
ARPG,ARPG,ARPG,ARPG,134,15096010818896.006,150960.10818896006,10339733437.6,"地下城与勇士：起源, 完美世界, 我叫MT4, 暗黑破坏神：不朽-星际争霸, 晶核, 燕云十六声, 永恒纪元, 冒险岛：枫之传说"
MMORPG,MMORPG,MMORPG,MMORPG,75,11485385677239.434,114853.85677239431,7866702518.657146,"逆水寒, 天涯明月刀·世界, 倩女幽魂, 天龙八部手游, 新剑侠情缘, 一梦江湖, 热血传奇, 新笑傲江湖"
SLG/전략게임,하드 SLG,SLG/전략게임,하드 SLG,72,7990096640010.858,79900.96640010858,5472668931.514286,"三国志·战略版, 无尽冬日, 万国觉醒, 梦幻模拟战, 明日之后, 红警OL, 征途, 文明与征服-攻城策略对战 重启全面战争时代"
SLG/전략게임,캐주얼 SLG,SLG/전략게임,캐주얼 SLG,71,7160371216411.43,71603.71216411432,4904363846.857144,"阴阳师, 乱世王者, 三国：谋定天下, 问道, 浮生为卿歌, 星际猎人-无尽的拉格朗日全面焕新, 守望黎明, 神雕侠侣2"
슈팅,슈팅,슈팅,슈팅,17,6985585943385.714,69855.85943385714,4784647906.42857,"和平精英, 无畏契约：源能行动, 全民突击, 向僵尸开炮-尸潮来袭, 穿越火线-枪战王者, 使命召唤手游, 荒野行动, 暗区突围"
SRPG,SRPG,SRPG,SRPG,32,6702401142690.288,67024.01142690287,4590685714.171431,"梦幻西游, 大话西游, 三角洲行动, 长安幻想, 梦幻诛仙, 梦幻西游三维版, 梦幻新诛仙.魔天音, 幻唐志：逍遥外传"
서브컬처,서브컬처,서브컬처,서브컬처,43,5376907558326.857,53769.07558326857,3682813396.1142855,"原神·空月之歌, 崩坏：星穹铁道, 明日方舟, 风之大陆, 绝区零, 斗破苍穹：异火重燃, 崩坏3, 鸣潮 - 赛博朋克联动"
수집형 게임,수집/육성 카드,수집형 게임,수집/육성 카드,84,3875012352874.8555,38750.123528748554,2654118049.914284,"哈利波特：魔法觉醒, 三国志幻想大陆-六周年, 少年三国志2-马年春节版本开启, 英雄联盟电竞经理, 咸鱼之王, 魔法门之英雄无敌：战争纪元, 放开那三国3, 少年三国志×山海经-周年庆典狂欢"
애니메이션/IP,애니메이션/IP,애니메이션/IP,애니메이션/IP,28,3345275557005.142,33452.75557005141,2291284628.0857134,"火影忍者, 斗罗大陆:魂师对决, 航海王热血航线-正版授权, 圣斗士星矢-官方正版(腾讯), 航海王：燃烧意志-正版授权, 斗罗大陆：武魂觉醒, 火影忍者：忍者新世代, 斗罗大陆"
여성향 게임,여성향 게임,여성향 게임,여성향 게임,30,2870042339373.7144,28700.42339373714,1965782424.2285714,"恋与深空, 闪耀暖暖, 天谕, 恋与制作人, 世界之外, 以闪亮之名, 光与夜之恋, 如鸢"
캐주얼,방치,캐주얼,방치,27,2610531010063.9985,26105.310100639985,1788034938.399999,"剑与远征 - AFK, 一念逍遥·萌兽服, 最强蜗牛-休闲放置佳作, 出发吧麦芬, 超能世界, 不休的乌拉拉, 寻道大千-小妖砍树能修仙, 次神：光之觉醒-动作冒险休闲闯关游戏"
스포츠/레이싱,레이싱/경주,스포츠/레이싱,레이싱/경주,20,2440975896373.145,24409.758963731452,1671901298.8857157,"QQ飞车, 跑跑卡丁车官方竞速版, 巅峰极速-趣游华夏, 王牌竞速-车姬, 极品飞车：集结, 狂野飙车9：竞速传奇, 腾讯桌球 -经典台球八球斯诺克, 四驱兄弟"
MOBA,MOBA,MOBA,MOBA,9,2293924810878.8574,22939.24810878857,1571181377.3142858,"王者荣耀, 英雄联盟手游, 决战！平安京, 宝可梦大集结, 王者荣耀世界, 决胜巅峰, 云•王者荣耀, 英魂之刃-5V5公平竞技MOBA手游"
스포츠/레이싱,스포츠,스포츠/레이싱,스포츠,38,1437024728604.5718,14370.24728604572,984263512.7428573,"全明星街球派对 - NBA正版授权, 美职篮全明星, 灌篮高手 正版授权手游, FC足球世界-杯赛, 欢乐钓鱼大师, 最强美职篮, 实况足球, 街篮"
경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,35,1305452618340.0,13054.5261834,894145628.9999999,"我的花园世界, 奥比岛：梦想国度, 心动小镇, 叫我大掌柜, 江南百景图, 时光杂货店, 这城有良田, 桃源深处有人家"
캐주얼,경쟁/파티,캐주얼,경쟁/파티,18,1232820721048.5715,12328.207210485716,844397754.1428574,"蛋仔派对, 荒野乱斗, 元梦之星, 鹅鸭杀, 超自然行动组, 光·遇, 暴吵萌厨, 皮卡堂之梦想起源"
카지노,대중 체스/마작/카드,카지노,대중 체스/마작/카드,103,1006137334142.2859,10061.373341422863,689135160.3714287,"捕鱼大咖-畅爽3D街机捕鱼游戏, 捕鱼大作战-街机打鱼游戏王者, 海王捕鱼-官方版, 乐乐捕鱼, 富豪麻将, 途游休闲捕鱼-百万倍街机王者大作战, 捕鱼炸翻天-修仙捕鱼, 乐鸿捕鱼-3D全民鸿运街机欢乐捕鱼高爆版"
수집형 게임,오토체스 카드,수집형 게임,오토체스 카드,2,797049184122.857,7970.491841228571,545924098.7142856,"金铲铲之战, 龙息：神寂"
캐주얼,아케이드,캐주얼,아케이드,19,761123979406.857,7611.23979406857,521317794.1142857,"魂斗罗:归来, 一起来捉妖, 葫芦娃 - 经典国漫上美影正版授权游戏, 《喵星大作战》, 我比武特牛, 时空猎人-猫女觉醒, 开心大碰撞, 钢铁力量"
리듬게임,리듬게임,리듬게임,리듬게임,15,735015185305.7146,7350.1518530571475,503435058.42857164,"QQ炫舞, 劲舞时代-网易云音乐现已接入, 偶像梦幻祭2, 初音未来：缤纷舞台, 梦想协奏曲！少女乐团派对！, 炫舞浪漫爱, 刀剑乱舞-Online-, 拳皇97OL- 登录领不知火舞"
비행 슈팅,비행 슈팅,비행 슈팅,비행 슈팅,10,470460796620.5715,4704.6079662057155,322233422.3428572,"全民飞机大战, 世界启元 - 文明正版IP合作, 雷霆战机：集结-三体联动, 擎天战机, 手机反恐特别行动, 现代战舰 - 送055大驱, 雷霆小分队-俯视角吃鸡, 巅峰坦克:装甲战歌"
